description,theme
"""The operation of potentially large numbers of drones at low levels, mostly outside airspace where there is any formal ATC, presents a number of significant operational challenges. For this reason, it is necessary to establish a clear concept of operations that is understood and agreed by all stakeholders. The research will include identification of how drones can be operated safely in non-nominal situations, without posing an unacceptable danger to other airspace users, or people and property on the ground.As with any disruptive technology or concept, the reaction from society will vary enormously depending on the perspective of the individual or organisation. Furthermore, the fundamental rights of European citizens must be protected from intrusion by drone operators. Consequently, this project will also examine non-aviation aspects of drone operations, to identify key issues for society and to offer solutions to ease social acceptance.In reference to the SJU Annual Work Programme 2016, this topic covers Section 3.5.3 (e) 1) topics a) to d).This project addresses those drones that are expected to operate in the VLL environment, covering many types of aerial activity, including leisure, remote infrastructure inspection, rural operations, flights in densely-populated and urban areas, and flights near protected sites, such as airports or nuclear power stations. Although manned aviation operating in this airspace is typically uncontrolled, it will be necessary to address how drones might operate within controlled airspace near, for example, airfields. In addition, VLL airspace is also used by other classes of airspace users, such as military aircraft, rotorcraft, balloons, hang-gliders, micro-lights, parachutists and so on. The Concept must enable safe interaction with all these users. Operational considerations must include contingencies and emergencies, and societal issues must also be addressed.This topic is not intended to address particular technological solutions, which are covered in ‘WA-2: Technical Issues’ in this Call. However, it will be necessary for the project to identify where technical developments are needed, and to quantify, as far as possible, the high-level safety and performance requirements of that technology needed to implement the Concept. The project should not propose specific technology choices.Since the Operational Concept is the foundation upon which additional drone research work will be conducted, the project will produce of a set of reference scenarios that illustrate the wide variety of drone operations that could be anticipated.The development of the concept of operations should take into account work already undertaken around the world on this subject in order to promote relevant global harmonisation, in particular NASA’s Unmanned Traffic Management (UTM) research project, and work being undertaken by JARUS. The project should make clear any assumptions made about the volumes of traffic used to define the concept and any implications for its viability if those assumptions are inaccurate.The generation of a successful and accepted concept of operations for the operation of drones is a prerequisite for the development of standards, regulations, management and control agencies, operating procedures and business plans. It will also provide the foundation upon which technical and infrastructure developments can be made in order to allow the drone market to achieve its full potential.""","""theme"""
"""In manned aviation, the sharing of timely and relevant information, of guaranteed quality, is recognised as a prerequisite for safe and efficient operations. Drones will operate in complex low-level airspace where there will be other drones, manned aircraft, buildings and terrain hazards. It is essential, therefore, that aeronautical information and planning facilities are sufficiently robust and accurate to enable these operations to be conducted safely and efficiently.In reference to the SJU Annual Work Programme 2016, this topics covers Section 3.5.3 (e) 2) topic a).It is anticipated that information management will be as applicable to drone operations as it is to manned aviation, but it is not clear if the type of data currently available to manned aviation, and the way it is managed and accessed, is appropriate to drone operations. This should be investigated. Furthermore, the cost implications should be considered against the potentially more financially-constrained nature of many forms of drone operation.The range of drones under consideration is very large, ranging from small line-of-sight (LOS) drones of limited capability, all the way up to extremely advanced machines flying autonomously over long distances in a wide variety of airspace environments. Consequently, this topic should consider information management from the perspective of the many mission types that may be envisaged. A scenario-based approach may be considered to illustrate the range and applicability of information management.A project proposing to cover this topic should make clear any assumptions made about the volumes of traffic used in the analysis and any implications for the conclusions.There is likely to be a vast amount of information generated by the appearance of large numbers of drones in the skies. Unless drone operations are supported by an appropriate information-management environment, it is unlikely that safe and effective drone operations could be conducted. This study will identify drone-specific issues concerning information management, the need for integration with manned aviation, and explore solutions to the issues raised. In doing this, a safe increase in drone activity will be supported, and growth of the industry promoted.""","""theme"""
"""VLL drones represent a new type of air vehicle that operate in a fundamentally different way to conventional aviation. In order to remain safe and effective, they will require new technologies to be developed and installed on the air vehicle itself, or for existing technologies to be used in a different way, both of which should be safely interoperable with existing manned aviation.In reference to the SJU Annual Work Programme 2016, this topics covers Section 3.5.3 (e) 2) topic d).This topic covers technologies that will need to be fitted to drones in order to implement the concept of operations for VLL drones. It is recommended that the project proposing to cover this topic works closely with Topic 1 in order to promote a coherent approach to addressing the problem. Since there are likely to be a wide variety of drone types, operating in different ways, the project should consider not just individual technologies, but how such technologies should interoperate with other drones and manned aviation, especially when large numbers of drones are deployed. The impact on spectrum should also be considered where applicable.This Topic should address all aspects of airborne technology, including Communications, Navigation and Surveillance systems, Detect and Avoid systems, auto-pilot systems (including for autonomous operations). The Topic should include coverage of the miniaturisation of drone technologies and what could be done to produce lower-cost systems than are currently in use in manned aviation, including the use of non-certified systems.There is a wide variety of drone types varying from those small ‘toy-like’ machines with limited capability, all the way up to highly-advanced systems with performance very similar to manned aircraft. Consequently, the range of technologies needed to enable all anticipated variations in drone operations is vast. This project is expected to explore a comprehensive range of options for airborne technology across the full range of drone operations, enabling the growth of the sector and the safe integration of drones with other drones and with manned aviation.""","""theme"""
"""The operation of drones in VLL airspace introduces new challenges not encountered by manned aviation. Typically, outside the vicinity of airfields, there is limited infrastructure to support aerial operations, such as communication and surveillance. Furthermore, conventional navigation infrastructure may not be able to support the needs of VLL operations. It is necessary, therefore, to examine the concept of operations for VLL drone operations and to specify the ground-based technologies that are required to enable that concept.In reference to the SJU Annual Work Programme 2016, this topics covers Section 3.5.3 (e) 2) topic d) and e).This project should examine what ground-based technologies are needed to support UTM, describe its technical architecture and indicate its performance requirements. It should address the use of communications, navigation and surveillance technologies, and how data supplied by these means should be used and by whom, including the need for traffic situation and other displays. The complications posed by the operation of drones beyond line of sight should be addressed.The specification of data links is not in the scope of this topic, and nor are issues related to the performance of networks needed to support them, or spectrum issues for any technologies considered in the concept for any purposeIt is certain that the new concept of VLL operations by drones will need both new technologies and the re-use of existing technologies in order to function safely and efficiently. Correct specification of this technology will significantly facilitate the effective implementation of drone operations.""","""theme"""
"""Most drones, even autonomous ones, will need some form of data link. This could be for command and control, payload, collision avoidance, communication with the UTM system etc. Many technologies exist for data link from within and without the aviation world and it is necessary to identify which technologies are suitable for use to enable safe and efficient drone operations. Each technology places demands on both supporting networks and the electromagnetic spectrum. Given the potential volume of drones that may be operating, it is critical to understand the ability of scarce spectrum resources to support such datalink requirements, and to ensure that drone operations using these technologies do not adversely interfere with manned aviation.In reference to the SJU Annual Work Programme 2016, this topics covers Section 3.5.3 (e) 2) topic b).This topic covers all issues concerning use of data link for drones. It should explore technological solutions, their limitations, their relevance and their performance requirements, including usage of spectrum. However, any data links concerned with drone payload operations are not in scope of this project, unless they are dual-use. In that case, the safety, redundancy and performance issues associated with dual-use technology should be addressed. The topic should also cover the network issues associated with the use of drone data links, including options for implementing a suitable network or networks, such as use of mobile telecommunications networks.It is likely that drones of different classes will have very different requirements. A range of drone types should be examined, and a scenario-based approach may be considered.Data links are an essential component of drone operation. The wide variety of drones entering service, and the wide range of missions for which they are likely to be used, means that it is vital to ensure that data links used are safe, effective, meet appropriate performance requirements and do not adversely affect that spectrum protected for use by aviation stakeholders. It is essential to understand these issues and ensure that they are well controlled in order for drones to be safely integrated with manned aviation.""","""theme"""
"""The operation of drones represents a new challenge to society in that, for the first time, airborne assets will be available to anyone to fly, yet which have the capability to invade privacy or to cause distress and damage to people and property. It is essential, therefore, to ensure that the risk to the public is minimised by effective regulation, supported by appropriate technologies. Furthermore, it is essential that the potential for drones to fly where they are not supposed to is minimised as far as possible.In reference to the SJU Annual Work Programme 2016, this topics covers Section 3.5.3 (e) 2) topic a) with regards to geofencing and f).This topic covers security from three perspectives:Security of the drone system;Security of third parties as a result of the operation of a drone system; andApplication of geo-fencing to ensure compliance with mission and airspace constraints.A project proposing to cover this topic should investigate how to protect the drone system itself to ensure that, not only can it be prevented from performing outside its intended manner through some unexpected interference, for example, but also that the drone could not be unlawfully interfered with in order to deliberately divert it from its intended mission.Drones have the potential to execute illegal and dangerous activities including, for example, acts of terror. This project will look at ways of reducing the risk of such unlawful interference.A project proposing to cover this focus should also examine the concept of geo-fencing. This includes examining the UTM concept developed in Work Area 1, including concepts for airspace classification and reservation, and examine options for ensuring that airspace constraints cannot be violated.This topic covers technological options for both airborne and ground elements, including navigation, communication between air and ground, in-flight updates, network requirements, service provision options etc.There is considerable concern about the security implications of the proliferation of drone operations. This project will analyse the problem so that security issues can be effectively addressed as drone operations are enabled. Geo-fencing can be used advantageously to allow or deny any action of a drone, depending on its position. Successful deployment of such systems should increase safety and prevent unlawful activity by drone operators.""","""theme"""
"""It is expected that, by 2035, our skies will go through a profound change. Where currently airspace is sparsely occupied by larger aircraft at higher altitudes and by small leisure and commercial aircraft closer to the ground, the rise of commercial & civil drone usage would lead to a much denser form of air traffic at VLL, with many more interactions between air traffic participants. This poses a considerable challenge from a traffic management point of view.The challenge is to find a robust and interoperable technical solution that is suitable for the smallest of drones. Importantly, many of these drones are envisaged to operate autonomously. The solution will have to be lightweight, energy efficient, and allow for autonomous avoidance manoeuvres even on the smallest of drones.In reference to the SJU Annual Work Programme 2016, this topics covers Section 3.5.3 (e) 2) topics a) to e) for long term aspects.This project will answer the question: “How can drones best leverage a sensor suite of state-of-the-art electronic sensors and communication devices in order to make a safe, robust and interoperable VLL UTM solution for e.g. detect-and-avoid that still fits on small drones?”The mobile phone industry has spurred an unprecedented advance in the production of small electronics, which has resulted in a plethora of sensors, processors, and communication devices, including small cameras, tiny radars, structured light sensors, microphones, and small communication devices. It is possible that, by combining these sensors in the best way possible, a common solution to VLL UTM could be found.For full robustness, the solution should involve both collaborative conflict resolution and, for where collaborative systems fail or are not present, non-collaborative conflict resolution. For non-collaborative conflict resolution, multiple sensors should be investigated and combined in a single, lightweight sensor and navigation package, in which sensor data-fusion leads to high robustness. It should also be investigated how this solution would perform in densely-populated areas, with drones flying in an urban environment or even indoors. Also, it will have to be investigated how the interaction should be shaped with a potentially very connected ‘Internet of Things’ environment.The topic should research sensor selection, data fusion and supporting procedures to fully describe the proposed solution.There is expected to be a significant rise in the number of small drones operating in the VLL environment, which is largely uncontrolled but still used by manned aviation. Implementation of a sensor suite able to be carried by small drones and capable of avoiding other drones, manned aircraft and other obstacles would significantly assist the growth of the small-drone sector and enable its safe operation in all classes of airspace.""","""theme"""
"""Infection with Clostridium difficile, a Gram-positive spore-forming anaerobe, is the most common cause of nosocomial diarrhoea in developed countries and leads to symptoms that range from self-limiting mild-moderate watery diarrhea to severe fulminant diarrhea, abdominal pain and pseudomembranous colitis. In some patients it may progress to toxic megacolon, colonic perforation and death.Over 500,000 new cases of C. difficile infection occur each year in the US and estimates suggest greater than 400,000 diagnosed CDI events occur annually in Europe, although the true incidence is likely to be much higher. Furthermore, the burden of CDI outside of the acute care hospital environment, particularly in nursing homes and long-term care facilities, is under-estimated.There is therefore a need to develop a robust assessment of the burden of CDI and current practices in Europe. Development of a detailed understanding of the epidemiology and clinical impact of CDI; more specifically to:These efforts can be expected to result in the support of adequate public health intervention and practices. It will help in speeding up the development of alternative prevention and treatment approaches.""","""theme"""
"""Autoimmune diseases affect approximately 5% of the population of Europe, with two-thirds of the patients being female.Development of a translational research project for the induction and monitoring of immune tolerance in Rheumatic Diseases: Rheumatoid Arthritis (RA).If successful, immune tolerance approaches would revolutionize treatment of RA by inducing drug-free remission. Coupled with diagnostic tests, screening initiatives for “at-risk” individuals, it may stop the disease before joint damage can occur. For healthy but at-risk patient, this would offer a screening and “vaccination” for the prevention of RA.""","""theme"""
"""Reproducibility and relevance of research findings represent the pillars of the scientific method. For drug development, robust data and scientific rigor are key drivers for decision making, determining patent strength, time-to-market and consequently availability of new treatments to patients. Substantial evidence has accumulated that robustness, rigor and validity of research data can be problematic. While the issues at hand concern all areas of Research & Development, the impact of unreliable data, as well as the potential benefit of intervention, is greatest in areas already facing additional challenges, such as Neuroscience.Starting with a first pilot project focused on Neuroscience and Safety, the goal is to advance the quality and efficiency of Discovery R&D data. This action should provide evidence/data to develop quality criteria for new and/or improved preclinical tests, develop consensus quality management recommendations in non-regulated R&D to enhance the quality of decisions made based on experimental data, and by developing an educational course on data quality as a major contributor to enhance the quality culture in preclinical research. The action should also contribute to the development of a proficiency test system (ring tests) in preclinical research and to the implementation and testing of the quality principles developed by the consortium in day-to-day research settings, both in academia and industry, to achieve maximal cross fertilization and cultural exchange.These efforts can be expected to result in an improvement in the data quality of pre-clinical studies via the delivery of reliable and reproducible models with harmonized and standardized protocols and procedures. There will also be a significant contribution to the 3Rs (replacement, reduction and refinement) in the use of experimental animals in preclinical research, to IP protection and regulatory success by ensuring validity and traceability of data. Through dissemination of the scientific quality principles a cultural change and ripple effect should be triggered. Accreditation, consensus quality management recommendations, and an education module on data quality will further facilitate the implementation of innovation from academia and SMEs into the R&D process and will obviate the need for duplicate assessment of external partners.""","""theme"""
